Igehely	Strong-szám	Görög szóalak	Morfológiai kód
Zsolt 27:2	G2068	φαγειν	V-AAN
Zsolt 27:2	G3588	τας	T-APF
Zsolt 27:2	G4561	σαρκας	N-APF
Zsolt 27:2	G1473	μου	P-GS
Zsolt 27:2	G3588	οι	T-NPM
Zsolt 27:2	G2346	θλιβοντες	V-PAPNP
Zsolt 27:2	G1473	με	P-AS
Zsolt 27:2	G2532	και	CONJ
Zsolt 27:2	G3588	οι	T-NPM
Zsolt 27:2	G2190	εχθροι	N-NPM
Zsolt 27:2	G1473	μου	P-GS
Zsolt 27:2	G0846	αυτοι	D-NPM
Zsolt 27:2	G0770	ησθενησαν	V-AAI-3P
Zsolt 27:2	G2532	και	CONJ
Zsolt 27:2	G4098	επεσαν	V-AAI-3P
Zsolt 27:3	G1437	εαν	CONJ
Zsolt 27:3	G1909	επ	PREP
Zsolt 27:3	G1473	εμε	P-AS
Zsolt 27:3	G3364	ου	ADV
Zsolt 27:3	G5399	φοβηθησεται	V-FPI-3S
Zsolt 27:3	G3588	η	T-NSF
Zsolt 27:3	G2588	καρδια	N-NSF
Zsolt 27:3	G1473	μου	P-GS
Zsolt 27:3	G1437	εαν	CONJ
Zsolt 27:3	G1909	επ	PREP
Zsolt 27:3	G1473	εμε	P-AS
Zsolt 27:3	G4171	πολεμος	N-NSM
Zsolt 27:3	G1722	εν	PREP
Zsolt 27:3	G3778	ταυτη	D-DSF
Zsolt 27:3	G1473	εγω	P-NS
Zsolt 27:3	G1679	ελπιζω	V-PAI-1S
Zsolt 27:4	G1519	μιαν	A-ASF
Zsolt 27:4	G0154	ητησαμην	V-AMI-1S
Zsolt 27:4	G3844	παρα	PREP
Zsolt 27:4	G2962	κυριου	N-GSM
Zsolt 27:4	G3778	ταυτην	D-ASF
Zsolt 27:4	G1567	εκζητησω	V-FAI-1S
Zsolt 27:4	G3588	του	T-GSN
Zsolt 27:4	G1473	με	P-AS
Zsolt 27:4	G1722	εν	PREP
Zsolt 27:4	G3624	οικω	N-DSM
Zsolt 27:4	G2962	κυριου	N-GSM
Zsolt 27:4	G3956	πασας	A-APF
Zsolt 27:4	G3588	τας	T-APF
Zsolt 27:4	G2250	ημερας	N-APF
Zsolt 27:4	G3588	της	T-GSF
Zsolt 27:4	G2222	ζωης	N-GSF
Zsolt 27:4	G1473	μου	P-GS
Zsolt 27:4	G3588	του	T-GSN
Zsolt 27:4	G2334	θεωρειν	V-PAN
Zsolt 27:4	G1473	με	P-AS
Zsolt 27:4	G3588	την	T-ASF
Zsolt 27:4	G3588	του	T-GSM
Zsolt 27:4	G2962	κυριου	N-GSM
Zsolt 27:4	G2532	και	CONJ
Zsolt 27:4	G1980	επισκεπτεσθαι	V-PMN
Zsolt 27:4	G3588	τον	T-ASM
Zsolt 27:4	G3485	ναον	N-ASM
Zsolt 27:4	G0846	αυτου	D-GSM
Zsolt 27:5	G3754	οτι	CONJ
Zsolt 27:5	G2928	εκρυψεν	V-AAI-3S
Zsolt 27:5	G1473	με	P-AS
Zsolt 27:5	G1722	εν	PREP
Zsolt 27:5	G4633	σκηνη	N-DSF
Zsolt 27:5	G1722	εν	PREP
Zsolt 27:5	G2250	ημερα	N-DSF
Zsolt 27:5	G2556	κακων	A-GPN
Zsolt 27:5	G1473	μου	P-GS
Zsolt 27:5	G1473	με	P-AS
Zsolt 27:5	G1722	εν	PREP
Zsolt 27:5	G0614	αποκρυφω	A-DSN
Zsolt 27:5	G3588	της	T-GSF
Zsolt 27:5	G4633	σκηνης	N-GSF
Zsolt 27:5	G0846	αυτου	D-GSM
Zsolt 27:5	G1722	εν	PREP
Zsolt 27:5	G4073	πετρα	N-DSF
Zsolt 27:5	G5312	υψωσεν	V-AAI-3S
Zsolt 27:5	G1473	με	P-AS
Zsolt 27:6	G2532	και	CONJ
Zsolt 27:6	G3568	νυν	ADV
Zsolt 27:6	G2400	ιδου	INJ
Zsolt 27:6	G5312	υψωσεν	V-AAI-3S
Zsolt 27:6	G3588	την	T-ASF
Zsolt 27:6	G2776	κεφαλην	N-ASF
Zsolt 27:6	G1473	μου	P-GS
Zsolt 27:6	G1909	επ	PREP
Zsolt 27:6	G2190	εχθρους	N-APM
Zsolt 27:6	G1473	μου	P-GS
Zsolt 27:6	G2944	εκυκλωσα	V-AAI-1S
Zsolt 27:6	G2532	και	CONJ
Zsolt 27:6	G2380	εθυσα	V-AAI-1S
Zsolt 27:6	G1722	εν	PREP
Zsolt 27:6	G3588	τη	T-DSF
Zsolt 27:6	G4633	σκηνη	N-DSF
Zsolt 27:6	G0846	αυτου	D-GSM
Zsolt 27:6	G2378	θυσιαν	N-ASF
Zsolt 27:6	G0103	ασομαι	V-FMI-1S
Zsolt 27:6	G2532	και	CONJ
Zsolt 27:6	G5567	ψαλω	V-FAI-1S
Zsolt 27:6	G3588	τω	T-DSM
Zsolt 27:6	G2962	κυριω	N-DSM
Zsolt 27:7	G1522	εισακουσον	V-AAD-2S
Zsolt 27:7	G2962	κυριε	N-VSM
Zsolt 27:7	G3588	της	T-GSF
Zsolt 27:7	G5456	φωνης	N-GSF
Zsolt 27:7	G1473	μου	P-GS
Zsolt 27:7	G3739	ης	R-GSF
Zsolt 27:7	G1653	ελεησον	V-AAD-2S
Zsolt 27:7	G1473	με	P-AS
Zsolt 27:7	G2532	και	CONJ
Zsolt 27:7	G1522	εισακουσον	V-AAD-2S
Zsolt 27:7	G1473	μου	P-GS
Zsolt 27:8	G4771	σοι	P-DS
Zsolt 27:8	G3588	η	T-NSF
Zsolt 27:8	G2588	καρδια	N-NSF
Zsolt 27:8	G1473	μου	P-GS
Zsolt 27:8	G2212	εζητησεν	V-AAI-3S
Zsolt 27:8	G3588	το	T-ASN
Zsolt 27:8	G4383	προσωπον	N-ASN
Zsolt 27:8	G1473	μου	P-GS
Zsolt 27:8	G3588	το	T-ASN
Zsolt 27:8	G4383	προσωπον	N-ASN
Zsolt 27:8	G4771	σου	P-GS
Zsolt 27:8	G2962	κυριε	N-VSM
Zsolt 27:8	G2212	ζητησω	V-FAI-1S
Zsolt 27:9	G3165	μη	ADV
Zsolt 27:9	G0654	αποστρεψης	V-AAS-2S
Zsolt 27:9	G3588	το	T-ASN
Zsolt 27:9	G4383	προσωπον	N-ASN
Zsolt 27:9	G4771	σου	P-GS
Zsolt 27:9	G0575	απ	PREP
Zsolt 27:9	G1473	εμου	P-GS
Zsolt 27:9	G3165	μη	ADV
Zsolt 27:9	G1578	εκκλινης	V-PAS-2S
Zsolt 27:9	G1722	εν	PREP
Zsolt 27:9	G3709	οργη	N-DSF
Zsolt 27:9	G0575	απο	PREP
Zsolt 27:9	G3588	του	T-GSM
Zsolt 27:9	G1401	δουλου	N-GSM
Zsolt 27:9	G4771	σου	P-GS
Zsolt 27:9	G0998	βοηθος	N-NSM
Zsolt 27:9	G1473	μου	P-GS
Zsolt 27:9	G1096	γενου	V-AMD-2S
Zsolt 27:9	G3165	μη	ADV
Zsolt 27:9	G1473	με	P-AS
Zsolt 27:9	G2532	και	CONJ
Zsolt 27:9	G3165	μη	ADV
Zsolt 27:9	G1459	εγκαταλιπης	V-AAS-2S
Zsolt 27:9	G1473	με	P-AS
Zsolt 27:9	G3588	ο	T-NSM
Zsolt 27:9	G2316	θεος	N-NSM
Zsolt 27:9	G3588	ο	T-NSM
Zsolt 27:9	G4990	σωτηρ	N-NSM
Zsolt 27:9	G1473	μου	P-GS
Zsolt 27:10	G3754	οτι	CONJ
Zsolt 27:10	G3588	ο	T-NSM
Zsolt 27:10	G3962	πατηρ	N-NSM
Zsolt 27:10	G1473	μου	P-GS
Zsolt 27:10	G2532	και	CONJ
Zsolt 27:10	G3588	η	T-NSF
Zsolt 27:10	G3384	μητηρ	N-NSF
Zsolt 27:10	G1473	μου	P-GS
Zsolt 27:10	G1459	εγκατελιπον	V-AAI-3P
Zsolt 27:10	G1473	με	P-AS
Zsolt 27:10	G3588	ο	T-NSM
Zsolt 27:10	G1161	δε	PRT
Zsolt 27:10	G2962	κυριος	N-NSM
Zsolt 27:10	G4355	προσελαβετο	V-AMI-3S
Zsolt 27:10	G1473	με	P-AS
Zsolt 27:11	G3549	νομοθετησον	V-AAD-2S
Zsolt 27:11	G1473	με	P-AS
Zsolt 27:11	G2962	κυριε	N-VSM
Zsolt 27:11	G3588	τη	T-DSF
Zsolt 27:11	G3598	οδω	N-DSF
Zsolt 27:11	G4771	σου	P-GS
Zsolt 27:11	G2532	και	CONJ
Zsolt 27:11	G3594	οδηγησον	V-AAD-2S
Zsolt 27:11	G1473	με	P-AS
Zsolt 27:11	G1722	εν	PREP
Zsolt 27:11	G5147	τριβω	N-DSF
Zsolt 27:11	G2117	ευθεια	A-DSF
Zsolt 27:11	G1752	ενεκα	PREP
Zsolt 27:11	G3588	των	T-GPM
Zsolt 27:11	G2190	εχθρων	N-GPM
Zsolt 27:11	G1473	μου	P-GS
Zsolt 27:12	G3165	μη	ADV
Zsolt 27:12	G3860	παραδως	V-AAS-2S
Zsolt 27:12	G1473	με	P-AS
Zsolt 27:12	G1519	εις	PREP
Zsolt 27:12	G5590	ψυχας	N-APF
Zsolt 27:12	G2346	θλιβοντων	V-PAPGP
Zsolt 27:12	G1473	με	P-AS
Zsolt 27:12	G3754	οτι	CONJ
Zsolt 27:12	G1473	μοι	P-DS
Zsolt 27:12	G3144	μαρτυρες	N-NPM
Zsolt 27:12	G0094	αδικοι	A-NPM
Zsolt 27:12	G2532	και	CONJ
Zsolt 27:12	G5574	εψευσατο	V-AMI-3S
Zsolt 27:12	G3588	η	T-NSF
Zsolt 27:12	G0093	αδικια	N-NSF
Zsolt 27:12	G1438	εαυτη	D-DSF
Zsolt 27:13	G4100	πιστευω	V-PAI-1S
Zsolt 27:13	G3588	του	T-GSN
Zsolt 27:13	G3708	ιδειν	V-AAN
Zsolt 27:13	G3588	τα	T-APN
Zsolt 27:13	G0018	αγαθα	A-APN
Zsolt 27:13	G2962	κυριου	N-GSM
Zsolt 27:13	G1722	εν	PREP
Zsolt 27:13	G1065	γη	N-DSF
Zsolt 27:13	G2198	ζωντων	V-PAPGP
Zsolt 27:14	G5278	υπομεινον	V-AAD-2S
Zsolt 27:14	G3588	τον	T-ASM
Zsolt 27:14	G2962	κυριον	N-ASM
Zsolt 27:14	G0407	ανδριζου	V-PMD-2S
Zsolt 27:14	G2532	και	CONJ
Zsolt 27:14	G2901	κραταιουσθω	V-PMD-3S
Zsolt 27:14	G3588	η	T-NSF
Zsolt 27:14	G2588	καρδια	N-NSF
Zsolt 27:14	G4771	σου	P-GS
Zsolt 27:14	G2532	και	CONJ
Zsolt 27:14	G5278	υπομεινον	V-AAD-2S
Zsolt 27:14	G3588	τον	T-ASM
Zsolt 27:14	G2962	κυριον	N-ASM
Zsolt 28:1	G3588	του	T-GSM
Zsolt 28:1	G4314	προς	PREP
Zsolt 28:1	G4771	σε	P-AS
Zsolt 28:1	G2962	κυριε	N-VSM
Zsolt 28:1	G2896	εκεκραξα	V-AAI-1S
Zsolt 28:1	G3588	ο	T-NSM
Zsolt 28:1	G2316	θεος	N-NSM
Zsolt 28:1	G1473	μου	P-GS
Zsolt 28:1	G3165	μη	ADV
Zsolt 28:1	G0575	απ	PREP
Zsolt 28:1	G1473	εμου	P-GS
Zsolt 28:1	G3379	μηποτε	ADV
Zsolt 28:1	G0575	απ	PREP
Zsolt 28:1	G1473	εμου	P-GS
Zsolt 28:1	G2532	και	CONJ
Zsolt 28:1	G3666	ομοιωθησομαι	V-FPI-1S
Zsolt 28:1	G3588	τοις	T-DPM
Zsolt 28:1	G2597	καταβαινουσιν	V-PAPDP
Zsolt 28:1	G1519	εις	PREP
Zsolt 28:2	G1522	εισακουσον	V-AAD-2S
Zsolt 28:2	G3588	της	T-GSF
Zsolt 28:2	G5456	φωνης	N-GSF
Zsolt 28:2	G3588	της	T-GSF
Zsolt 28:2	G1162	δεησεως	N-GSF
Zsolt 28:2	G1473	μου	P-GS
Zsolt 28:2	G1722	εν	PREP
Zsolt 28:2	G3588	τω	T-DSN
Zsolt 28:2	G1210	δεεσθαι	V-PMN
Zsolt 28:2	G1473	με	P-AS
Zsolt 28:2	G4314	προς	PREP
Zsolt 28:2	G4771	σε	P-AS
Zsolt 28:2	G1722	εν	PREP
Zsolt 28:2	G3588	τω	T-DSN
Zsolt 28:2	G1473	με	P-AS
Zsolt 28:2	G0142	αιρειν	V-PAN
Zsolt 28:2	G5495	χειρας	N-APF
Zsolt 28:2	G1473	μου	P-GS
Zsolt 28:2	G4314	προς	PREP
Zsolt 28:2	G3485	ναον	N-ASM
Zsolt 28:2	G0040	αγιον	A-ASM
Zsolt 28:2	G4771	σου	P-GS
Zsolt 28:3	G3165	μη	ADV
Zsolt 28:3	G3326	μετα	PREP
Zsolt 28:3	G0268	αμαρτωλων	A-GPM
Zsolt 28:3	G3588	την	T-ASF
Zsolt 28:3	G5590	ψυχην	N-ASF
Zsolt 28:3	G1473	μου	P-GS
Zsolt 28:3	G2532	και	CONJ
Zsolt 28:3	G3326	μετα	PREP
Zsolt 28:3	G2038	εργαζομενων	V-PMPGP
Zsolt 28:3	G0093	αδικιαν	N-ASF
Zsolt 28:3	G3165	μη	ADV
Zsolt 28:3	G1473	με	P-AS
Zsolt 28:3	G3588	των	T-GPM
Zsolt 28:3	G2980	λαλουντων	V-PAPGP
Zsolt 28:3	G1515	ειρηνην	N-ASF
Zsolt 28:3	G3326	μετα	PREP
Zsolt 28:3	G3588	των	T-GPM
Zsolt 28:3	G4139	πλησιον	ADV
Zsolt 28:3	G0846	αυτων	D-GPM
Zsolt 28:3	G2556	κακα	A-NPN
Zsolt 28:3	G1161	δε	PRT
Zsolt 28:3	G1722	εν	PREP
Zsolt 28:3	G3588	ταις	T-DPF
Zsolt 28:3	G2588	καρδιαις	N-DPF
Zsolt 28:3	G0846	αυτων	D-GPM
Zsolt 28:4	G1325	δος	V-AAD-2S
Zsolt 28:4	G0846	αυτοις	D-DPM
Zsolt 28:4	G2596	κατα	PREP
Zsolt 28:4	G3588	τα	T-APN
Zsolt 28:4	G2041	εργα	N-APN
Zsolt 28:4	G0846	αυτων	D-GPM
Zsolt 28:4	G2532	και	CONJ
Zsolt 28:4	G2596	κατα	PREP
Zsolt 28:4	G3588	την	T-ASF
Zsolt 28:4	G4189	πονηριαν	N-ASF
Zsolt 28:4	G3588	των	T-GPN
Zsolt 28:4	G0846	αυτων	D-GPM
Zsolt 28:4	G2596	κατα	PREP
Zsolt 28:4	G3588	τα	T-APN
Zsolt 28:4	G2041	εργα	N-APN
Zsolt 28:4	G3588	των	T-GPF
Zsolt 28:4	G5495	χειρων	N-GPF
Zsolt 28:4	G0846	αυτων	D-GPM
Zsolt 28:4	G1325	δος	V-AAD-2S
Zsolt 28:4	G0846	αυτοις	D-DPM
Zsolt 28:4	G0591	αποδος	V-AAD-2S
Zsolt 28:4	G3588	το	T-ASN
Zsolt 28:4	G0846	αυτων	D-GPM
Zsolt 28:4	G0846	αυτοις	D-DPM
Zsolt 28:5	G3754	οτι	CONJ
Zsolt 28:5	G3364	ου	ADV
Zsolt 28:5	G4920	συνηκαν	V-AAI-3P
Zsolt 28:5	G1519	εις	PREP
Zsolt 28:5	G3588	τα	T-APN
Zsolt 28:5	G2041	εργα	N-APN
Zsolt 28:5	G2962	κυριου	N-GSM
Zsolt 28:5	G2532	και	CONJ
Zsolt 28:5	G1519	εις	PREP
Zsolt 28:5	G3588	τα	T-APN
Zsolt 28:5	G2041	εργα	N-APN
Zsolt 28:5	G3588	των	T-GPF
Zsolt 28:5	G5495	χειρων	N-GPF
Zsolt 28:5	G0846	αυτου	D-GSM
Zsolt 28:5	G2507	καθελεις	V-FAI-2S
Zsolt 28:5	G0846	αυτους	D-APM
Zsolt 28:5	G2532	και	CONJ
Zsolt 28:5	G3364	ου	ADV
Zsolt 28:5	G3165	μη	ADV
Zsolt 28:5	G3618	οικοδομησεις	V-FAI-2S
Zsolt 28:5	G0846	αυτους	D-APM
Zsolt 28:6	G2128	ευλογητος	A-NSM
Zsolt 28:6	G2962	κυριος	N-NSM
Zsolt 28:6	G3754	οτι	CONJ
Zsolt 28:6	G1522	εισηκουσεν	V-AAI-3S
Zsolt 28:6	G3588	της	T-GSF
Zsolt 28:6	G5456	φωνης	N-GSF
Zsolt 28:6	G3588	της	T-GSF
Zsolt 28:6	G1162	δεησεως	N-GSF
Zsolt 28:6	G1473	μου	P-GS
Zsolt 28:7	G2962	κυριος	N-NSM
Zsolt 28:7	G0998	βοηθος	N-NSM
Zsolt 28:7	G1473	μου	P-GS
Zsolt 28:7	G2532	και	CONJ
Zsolt 28:7	G1473	μου	P-GS
Zsolt 28:7	G1909	επ	PREP
Zsolt 28:7	G0846	αυτω	D-DSM
Zsolt 28:7	G1679	ηλπισεν	V-AAI-3S
Zsolt 28:7	G3588	η	T-NSF
Zsolt 28:7	G2588	καρδια	N-NSF
Zsolt 28:7	G1473	μου	P-GS
Zsolt 28:7	G2532	και	CONJ
Zsolt 28:7	G0997	εβοηθηθην	V-API-1S
Zsolt 28:7	G2532	και	CONJ
Zsolt 28:7	G0330	ανεθαλεν	V-AAI-3S
Zsolt 28:7	G3588	η	T-NSF
Zsolt 28:7	G4561	σαρξ	N-NSF
Zsolt 28:7	G1473	μου	P-GS
Zsolt 28:7	G2532	και	CONJ
Zsolt 28:7	G1537	εκ	PREP
Zsolt 28:7	G2307	θεληματος	N-GSN
Zsolt 28:7	G1473	μου	P-GS
Zsolt 28:7	G1843	εξομολογησομαι	V-FMI-1S
Zsolt 28:7	G0846	αυτω	D-DSM
Zsolt 28:8	G2962	κυριος	N-NSM
Zsolt 28:8	G3588	του	T-GSM
Zsolt 28:8	G2992	λαου	N-GSM
Zsolt 28:8	G0846	αυτου	D-GSM
Zsolt 28:8	G2532	και	CONJ
Zsolt 28:8	G3588	των	T-GPN
Zsolt 28:8	G4992	σωτηριων	N-GPN
Zsolt 28:8	G3588	του	T-GSM
Zsolt 28:8	G5547	χριστου	A-GSM
Zsolt 28:8	G0846	αυτου	D-GSM
Zsolt 28:8	G1510	εστιν	V-PAI-3S
Zsolt 28:9	G4982	σωσον	V-AAD-2S
Zsolt 28:9	G3588	τον	T-ASM
Zsolt 28:9	G2992	λαον	N-ASM
Zsolt 28:9	G4771	σου	P-GS
Zsolt 28:9	G2532	και	CONJ
Zsolt 28:9	G2127	ευλογησον	V-AAD-2S
Zsolt 28:9	G3588	την	T-ASF
Zsolt 28:9	G2817	κληρονομιαν	N-ASF
Zsolt 28:9	G4771	σου	P-GS
Zsolt 28:9	G2532	και	CONJ
Zsolt 28:9	G4165	ποιμανον	V-AAD-2S
Zsolt 28:9	G0846	αυτους	D-APM
Zsolt 28:9	G2532	και	CONJ
Zsolt 28:9	G0846	αυτους	D-APM
Zsolt 28:9	G2193	εως	PREP
Zsolt 28:9	G3588	του	T-GSM
Zsolt 28:9	G0165	αιωνος	N-GSM
Zsolt 29:1	G5568	ψαλμος	N-NSM
Zsolt 29:1	G3588	τω	T-DSM
Zsolt 29:1	G5342	ενεγκατε	V-AAD-2P
Zsolt 29:1	G3588	τω	T-DSM
Zsolt 29:1	G2962	κυριω	N-DSM
Zsolt 29:1	G5207	υιοι	N-NPM
Zsolt 29:1	G2316	θεου	N-GSM
Zsolt 29:1	G5342	ενεγκατε	V-AAD-2P
Zsolt 29:1	G3588	τω	T-DSM
Zsolt 29:1	G2962	κυριω	N-DSM
Zsolt 29:1	G5207	υιους	N-APM
Zsolt 29:1	G5342	ενεγκατε	V-AAD-2P
Zsolt 29:1	G3588	τω	T-DSM
Zsolt 29:1	G2962	κυριω	N-DSM
Zsolt 29:1	G1391	δοξαν	N-ASF
Zsolt 29:1	G2532	και	CONJ
Zsolt 29:1	G5092	τιμην	N-ASF
Zsolt 29:2	G5342	ενεγκατε	V-AAD-2P
Zsolt 29:2	G3588	τω	T-DSM
Zsolt 29:2	G2962	κυριω	N-DSM
Zsolt 29:2	G1391	δοξαν	N-ASF
Zsolt 29:2	G3686	ονοματι	N-DSN
Zsolt 29:2	G0846	αυτου	D-GSM
Zsolt 29:2	G4352	προσκυνησατε	V-AAD-2P
Zsolt 29:2	G3588	τω	T-DSM
Zsolt 29:2	G2962	κυριω	N-DSM
Zsolt 29:2	G1722	εν	PREP
Zsolt 29:2	G0833	αυλη	N-DSF
Zsolt 29:2	G0040	αγια	A-DSF
Zsolt 29:2	G0846	αυτου	D-GSM
Zsolt 29:3	G5456	φωνη	N-NSF
Zsolt 29:3	G2962	κυριου	N-GSM
Zsolt 29:3	G1909	επι	PREP
Zsolt 29:3	G3588	των	T-GPN
Zsolt 29:3	G5204	υδατων	N-GPN
Zsolt 29:3	G3588	ο	T-NSM
Zsolt 29:3	G2316	θεος	N-NSM
Zsolt 29:3	G3588	της	T-GSF
Zsolt 29:3	G1391	δοξης	N-GSF
Zsolt 29:3	G2962	κυριος	N-NSM
Zsolt 29:3	G1909	επι	PREP
Zsolt 29:3	G5204	υδατων	N-GPN
Zsolt 29:3	G4183	πολλων	A-GPN
Zsolt 29:4	G5456	φωνη	N-NSF
Zsolt 29:4	G2962	κυριου	N-GSM
Zsolt 29:4	G1722	εν	PREP
Zsolt 29:4	G2479	ισχυι	N-DSF
Zsolt 29:4	G5456	φωνη	N-NSF
Zsolt 29:4	G2962	κυριου	N-GSM
Zsolt 29:4	G1722	εν	PREP
Zsolt 29:5	G5456	φωνη	N-NSF
Zsolt 29:5	G2962	κυριου	N-GSM
Zsolt 29:5	G4937	συντριβοντος	V-PAPGS
Zsolt 29:5	G2532	και	CONJ
Zsolt 29:5	G4937	συντριψει	V-FAI-3S
Zsolt 29:5	G2962	κυριος	N-NSM
Zsolt 29:5	G3588	τας	T-APF
Zsolt 29:5	G3588	του	T-GSM
Zsolt 29:5	G3030	λιβανου	N-GSM
Zsolt 29:6	G2532	και	CONJ
Zsolt 29:6	G0846	αυτας	D-APF
Zsolt 29:6	G3739	ως	CONJ
Zsolt 29:6	G3588	τον	T-ASM
Zsolt 29:6	G3448	μοσχον	N-ASM
Zsolt 29:6	G3588	τον	T-ASM
Zsolt 29:6	G3030	λιβανον	N-ASM
Zsolt 29:6	G2532	και	CONJ
Zsolt 29:6	G3588	ο	T-NSM
Zsolt 29:6	G0025	ηγαπημενος	V-RMPNS
Zsolt 29:6	G3739	ως	CONJ
Zsolt 29:6	G5207	υιος	N-NSM
Zsolt 29:7	G5456	φωνη	N-NSF
Zsolt 29:7	G2962	κυριου	N-GSM
Zsolt 29:7	G5395	φλογα	N-ASF
Zsolt 29:7	G4442	πυρος	N-GSN
Zsolt 29:8	G5456	φωνη	N-NSF
Zsolt 29:8	G2962	κυριου	N-GSM
Zsolt 29:8	G2048	ερημον	N-ASF
Zsolt 29:8	G2532	και	CONJ
Zsolt 29:8	G2962	κυριος	N-NSM
Zsolt 29:8	G3588	την	T-ASF
Zsolt 29:8	G2048	ερημον	N-ASF
Zsolt 29:9	G5456	φωνη	N-NSF
Zsolt 29:9	G2962	κυριου	N-GSM
Zsolt 29:9	G2675	καταρτιζομενου	V-PMPGS
Zsolt 29:9	G2532	και	CONJ
Zsolt 29:9	G0601	αποκαλυψει	V-FAI-3S
Zsolt 29:9	G2532	και	CONJ
Zsolt 29:9	G1722	εν	PREP
Zsolt 29:9	G3588	τω	T-DSM
Zsolt 29:9	G3485	ναω	N-DSM
Zsolt 29:9	G0846	αυτου	D-GSM
Zsolt 29:9	G3956	πας	A-NSM
Zsolt 29:9	G5100	τις	I-NSM
Zsolt 29:9	G3004	λεγει	V-PAI-3S
Zsolt 29:9	G1391	δοξαν	N-ASF
Zsolt 29:10	G2962	κυριος	N-NSM
Zsolt 29:10	G3588	τον	T-ASM
Zsolt 29:10	G2627	κατακλυσμον	N-ASM
Zsolt 29:10	G2532	και	CONJ
Zsolt 29:10	G2524	καθιεται	V-PPI-3S
Zsolt 29:10	G2962	κυριος	N-NSM
Zsolt 29:10	G0935	βασιλευς	N-NSM
Zsolt 29:10	G1519	εις	PREP
Zsolt 29:10	G3588	τον	T-ASM
Zsolt 29:10	G0165	αιωνα	N-ASM
Zsolt 29:11	G2962	κυριος	N-NSM
Zsolt 29:11	G2479	ισχυν	N-ASF
Zsolt 29:11	G3588	τω	T-DSM
Zsolt 29:11	G2992	λαω	N-DSM
Zsolt 29:11	G0846	αυτου	D-GSM
Zsolt 29:11	G1325	δωσει	V-FAI-3S
Zsolt 29:11	G2962	κυριος	N-NSM
Zsolt 29:11	G2127	ευλογησει	V-FAI-3S
Zsolt 29:11	G3588	τον	T-ASM
Zsolt 29:11	G2992	λαον	N-ASM
Zsolt 29:11	G0846	αυτου	D-GSM
Zsolt 29:11	G1722	εν	PREP
Zsolt 29:11	G1515	ειρηνη	N-DSF
Zsolt 30:1	G1519	εις	PREP
Zsolt 30:1	G3588	το	T-ASN
Zsolt 30:1	G5056	τελος	N-ASN
Zsolt 30:1	G5568	ψαλμος	N-NSM
Zsolt 30:1	G3592	ωδης	N-GSF
Zsolt 30:1	G3588	του	T-GSM
Zsolt 30:1	G3588	του	T-GSM
Zsolt 30:1	G3624	οικου	N-GSM
Zsolt 30:1	G3588	τω	T-DSM
Zsolt 30:1	G5312	υψωσω	V-FAI-1S
Zsolt 30:1	G4771	σε	P-AS
Zsolt 30:1	G2962	κυριε	N-VSM
Zsolt 30:1	G3754	οτι	CONJ
Zsolt 30:1	G5274	υπελαβες	V-AAI-2S
Zsolt 30:1	G1473	με	P-AS
Zsolt 30:1	G2532	και	CONJ
Zsolt 30:1	G3364	ουκ	ADV
Zsolt 30:1	G2165	ηυφρανας	V-AAI-2S
Zsolt 30:1	G3588	τους	T-APM
Zsolt 30:1	G2190	εχθρους	N-APM
Zsolt 30:1	G1473	μου	P-GS
Zsolt 30:1	G1909	επ	PREP
Zsolt 30:1	G1473	εμε	P-AS
Zsolt 30:2	G2962	κυριε	N-VSM
Zsolt 30:2	G3588	ο	T-NSM
Zsolt 30:2	G2316	θεος	N-NSM
Zsolt 30:2	G1473	μου	P-GS
Zsolt 30:2	G2896	εκεκραξα	V-AAI-1S
Zsolt 30:2	G4314	προς	PREP
Zsolt 30:2	G4771	σε	P-AS
Zsolt 30:2	G2532	και	CONJ
Zsolt 30:2	G2390	ιασω	V-FAI-1S
Zsolt 30:2	G1473	με	P-AS
Zsolt 30:3	G2962	κυριε	N-VSM
Zsolt 30:3	G0321	ανηγαγες	V-AAI-2S
Zsolt 30:3	G1537	εξ	PREP
Zsolt 30:3	G0086	αδου	N-GSM
Zsolt 30:3	G3588	την	T-ASF
Zsolt 30:3	G5590	ψυχην	N-ASF
Zsolt 30:3	G1473	μου	P-GS
Zsolt 30:3	G4982	εσωσας	V-AAI-2S
Zsolt 30:3	G1473	με	P-AS
Zsolt 30:3	G0575	απο	PREP
Zsolt 30:3	G3588	των	T-GPM
Zsolt 30:3	G2597	καταβαινοντων	V-PAPGP
Zsolt 30:3	G1519	εις	PREP
Zsolt 30:4	G5567	ψαλατε	V-AAD-2P
Zsolt 30:4	G3588	τω	T-DSM
Zsolt 30:4	G2962	κυριω	N-DSM
Zsolt 30:4	G3588	οι	T-NPM
Zsolt 30:4	G3741	οσιοι	A-NPM
Zsolt 30:4	G0846	αυτου	D-GSM
Zsolt 30:4	G2532	και	CONJ
Zsolt 30:4	G1843	εξομολογεισθε	V-PMI-2P
Zsolt 30:4	G3588	τη	T-DSF
Zsolt 30:4	G3420	μνημη	N-DSF
Zsolt 30:4	G3588	της	T-GSF
Zsolt 30:4	G0042	αγιωσυνης	N-GSF
Zsolt 30:4	G0846	αυτου	D-GSM
Zsolt 30:5	G3754	οτι	CONJ
Zsolt 30:5	G3709	οργη	N-NSF
Zsolt 30:5	G1722	εν	PREP
