# GENERÁLT: eszkozok/oshl_index_import.py — kézzel nem szerkesztendő.
# forras: openscriptures/HebrewLexicon @ 21c9add13bc727d3a951361778e97e3ff7afd1ce | LexicalIndex.xml sha256=8f7a605c58899d2f44430149c143c00903976e1e91232476677972a69e5bc85f
# licenc: CC BY 4.0 — Open Scriptures Hebrew Bible Project; l. konkordancia/OSHL_lexikalis_index_README.md
strong	strong_eredeti	twot	bdb_id	nyelv	oshl_id	lemma	atiras	szofaj	def_en
H0001	1	4a	a.ae.ab	heber	aac	אָב	ʾāb	N	father
H0002	2	2553	xa.ac.ab	arameus	nyw	אַב	ʾab	N	father
H0003	3	1a	a.ab.ab	heber	aab	אֵב	ʾēb	N	freshness
H0004	4	2554	xa.aa.ac	arameus	nyv	אֵב	ʾēb	N	fruit
H0005	5	—	a.ab.ae	heber	aae	אֲבַגְתָא	ʾăbagtāʾ	Np	Abagtha
H0006	6	2	a.ac.aa	heber	aaf	אָבַד	ʾābad	V	perish
H0007	7	2555	xa.ab.aa	arameus	nyx	אֲבַד	ʾăbad	V	perish
H0008	8	2a	a.ac.ab	heber	aag	אֹבֵד	ʾōbēd	N	destruction
H0009	9	2b	a.ac.ac	heber	aah	אֲבֵדָה	ʾăbēdâ	N	a lost thing
H0010	10	2d	a.ac.af	heber	aai	אבדה	ʾbdh	N	Destruction
H0011	11	2d	a.ac.af	heber	aaj	אֲבַדּוֹן	ʾăbaddôn	Np	Destruction
H0012	12	2c	a.ac.ae	heber	aak	אַבְדָ֑ן	ʾabdān	N	destruction
H0013	13	2c	a.ac.ae	heber	aal	אׇבְדַן	ʾobdan	N	destruction
H0014	14	3	a.ad.aa	heber	aan	אָבָה	ʾābâ	V	be willing
H0015	15	238	b.bn.aa	heber	bnx	בָּיַי	bāyay	Tj	entreat
H0016	16	3c	a.ad.ad	heber	aam	אֵ֫בֶה	ʾēbeh	N	reed
H0017	17	3d	a.af.aa	heber	aap	אֲבוֹי	ʾăbôy	Tj	Oh!
H0018	18	10a	a.an.ab	heber	aaq	אֵבוּס	ʾēbûs	N	crib
H0019	19	786b	a.ag.ab	heber	aas	אִבְחָה	ʾibḥâ	N	slaughter
H0020	20	234a	b.bj.ab	heber	aat	אֲבַטִּחִים	ʾăbaṭṭiḥîm	N	water-melons
H0021	21	—	a.ae.ai	heber	aau	אֲבִי	ʾăbî	Np	Abi
H0022	22	—	a.ae.ad	heber	aax	אֲבִיאֵל	ʾăbîʾēl	Np	Abiel
H0023	23	—	a.ae.ae	heber	aay	אֲבִיאָסָף	ʾăbîʾāsāp	Np	Abiasaph
H0024	24	1b	a.ab.ac	heber	aaz	אָבִיב	ʾābîb	N	green
H0025	25	—	c.al.aj	heber	aav	אֲבִי גִבְעוֹן	ʾăbî gibʿôn	Np	father of Gibeon
H0026	26	—	a.ae.af	heber	aba	אֲבִיגַ֫יִל	ʾăbîgayil	Np	Abigal
H0027	27	—	a.ae.ag	heber	abb	אֲבִידָן	ʾăbîdān	Np	Abidan
H0028	28	—	a.ae.ah	heber	abc	אֲבִידָע	ʾăbîdāʿ	Np	Abida
H0029	29	—	a.ae.ai	heber	abd	אֲבִיָּ֫הוּ	ʾăbîyāhû	Np	Abiah
H0030	30	—	a.ae.aj	heber	abe	אֲבִיהוּא	ʾăbîhûʾ	Np	Abihu
H0031	31	—	a.ae.ak	heber	abf	אֲבִיהוּד	ʾăbîhûd	Np	Abihud
H0032	32	—	a.ae.al	heber	abi	אֲבִיחַ֫יִל	ʾăbîḥayil	Np	Abihail
H0033	33	—	a.ae.au	heber	aaw	אֲבִי הָעֶזְרִי	ʾăbî hāʿezrî	Ag	Abiezrite
H0034	34	3a	a.ad.ab	heber	abg	אֶבְיוֹן	ʾebyôn	A	in want
H0035	35	3b	a.ad.ac	heber	abh	אֲבִיּוֹנָה	ʾăbîyônâ	N	caper-berry
H0036	36	—	a.ae.am	heber	abj	אֲבִיטוּב	ʾăbîṭûb	Np	Abitub
H0037	37	—	a.ae.an	heber	abk	אֲבִיטָ֑ל	ʾăbîṭāl	Np	Abital
H0038	38	—	a.ae.ai	heber	abl	אֲבִיָּם	ʾăbîyām	Np	Abijam
H0039	39	—	a.ae.ao	heber	abm	אֲבִימָאֵל	ʾăbîmāʾēl	Np	Abimael
H0040	40	—	a.ae.ap	heber	abn	אֲבִימֶ֫לֶךְ	ʾăbîmelek	Np	Abimelech
H0041	41	—	a.ae.aq	heber	abo	אֲבִינָדָב	ʾăbînādāb	Np	Abinadab
H0042	42	—	a.ae.ar	heber	abp	אֲבִינֹ֫עַם	ʾăbînōʿam	Np	Abinoam
H0043	43	—	a.ae.ae	heber	abr	אֶבְיָסָף	ʾebyāsāp	Np	Ebiasaph
H0044	44	—	a.ae.at	heber	abs	אֲבִיעֶ֫זֶר	ʾăbîʿezer	Np	Abiezer
H0045	45	—	a.ae.ac	heber	abt	אֲבִי־עַלְבוֹן	ʾăbî-ʿalbôn	Np	Abialbon
H0046	46	13c	a.aq.ae	heber	abv	אָבִיר	ʾābîr	A	strong
H0047	47	13d	a.aq.af	heber	abu	אַבִּיר	ʾabbîr	A	mighty
H0048	48	—	a.ae.av	heber	abw	אֲבִירָם	ʾăbîrām	Np	Abiram
H0049	49	—	a.ae.ax	heber	abx	אֲבִישַׁג	ʾăbîšag	Np	Abishag
H0050	50	—	a.ae.ay	heber	aby	אֲבִישׁוּעַ	ʾăbîšûaʿ	Np	Abishua
H0051	51	—	a.ae.az	heber	abz	אֲבִישׁוּר	ʾăbîšûr	Np	Abishur
H0052	52	—	a.ae.ba	heber	aca	אֲבִישַׁי	ʾăbîšay	Np	Abishai
H0053	53	—	a.ae.bb	heber	acb	אֲבִישָׁלוֹם	ʾăbîšālôm	Np	Abishalom
H0054	54	—	a.ae.bc	heber	acc	אֶבְיָתָר	ʾebyātār	Np	Abiathar
H0055	55	5	a.ah.aa	heber	acd	אָבַךְ	ʾābak	V	turn
H0056	56	6	a.ai.aa	heber	acj	אָבַל	ʾābal	V	mourn
H0057	57	6b	a.ai.ad	heber	aci	אָבֵל	ʾābēl	A	mourning
H0058	58	—	a.aj.ab	heber	ach	אָבֵל	ʾābēl	N	a meadow
H0059	59	—	a.aj.ab	heber	acg	אָבֵל	ʾābēl	Np	Abel
H0060	60	6a	a.ai.ab	heber	acf	אֵ֫בֶל	ʾēbel	N	mourning
H0061	61	8	a.ak.aa	heber	ace	אֲבָל	ʾăbāl	D	nay
H0062	62	—	a.aj.ab	heber	acm	אָבֵל בֵּית־מֲעַכָה	ʾābēl bêt-măʿakâ	Np	Abel-beth-maachah
H0063	63	—	a.aj.ab	heber	acn	אָבֵל הַשִּׁטִּים	ʾābēl haššiṭṭîm	Np	Abelshittim
H0064	64	—	a.aj.ab	heber	aco	אָבֵל כְּרָמִים	ʾābēl kĕrāmîm	Np	plain of the vineyards
H0065	65	—	a.aj.ab	heber	acp	אָבֵל מְחוֹלָה	ʾābēl mĕḥôlâ	Np	Abel-meholah
H0066	66	—	a.aj.ab	heber	acq	אַבֵל מַיִם	ʾabēl mayim	Np	Abel-maim
H0067	67	—	a.aj.ab	heber	acr	אָבֵל מִצְרַיִם	ʾābēl miṣrayim	Np	Abel-mizraim
H0068	68	9	a.am.aa	heber	acs	אֶ֫בֶן	ʾeben	N	stone
H0069	69	2556	xa.ac.ac	arameus	nyz	אֶ֫בֶן	ʾeben	N	stone
H0070	70	9a	a.am.ab	heber	act	אֹבֶן	ʾōben	N	wheel
H0071	71	—	a.dy.aj	heber	acv	אֲבָנָה	ʾăbānâ	Np	Abana
H0072	72	9	a.am.aa	heber	acu	אֶבֶן הָעֵזֶר	ʾeben hāʿēzer	N	Ebenezer
H0073	73	256a	b.cc.ab	heber	acw	אַבְנֵט	ʾabnēṭ	N	girdle
H0074	74	—	a.ae.as	heber	abq	אֲבִינֵר	ʾăbînēr	Np	Abner
H0075	75	10	a.an.aa	heber	acx	אָבַס	ʾābas	V	feed
H0076	76	217a	b.at.ab	heber	acy	אֲבַעְבֻּעֹת	ʾăbaʿbuʿōt	N	blisters
H0077	77	—	a.ao.ab	heber	acz	אֶ֫בֶץ	ʾebeṣ	Np	Abez
H0078	78	—	a.ao.ac	heber	adb	אִבְצָן	ʾibṣān	Np	Ibzan
H0079	79	12	a.ap.ad	heber	adc	אָבַק	ʾābaq	V	wrestle
H0080	80	11a	a.ap.ab	heber	add	אָבָק	ʾābāq	N	dust
H0081	81	11b	a.ap.ac	heber	adf	אֲבָקָה	ʾăbāqâ	N	powders
H0082	82	13b	a.aq.ad	heber	adh	אָבַר	ʾābar	V	fly
H0083	83	13a	a.aq.ab	heber	adg	אֵ֫בֶר	ʾēber	N	pinions
H0084	84	13a	a.aq.ac	heber	adj	אֶבְרָה	ʾebrâ	N	pinion
H0085	85	4b	a.ae.aw	heber	adk	אַבְרָהָם	ʾabrāhām	Np	Abraham
H0086	86	14	a.ar.aa	heber	adl	אַבְרֵךְ	ʾabrēk	V	kneel
H0087	87	—	a.ae.aw	heber	adm	אַבְרָם	ʾabrām	Np	Abram
H0088	88	—	a.bp.ac	heber	adn	אֹבֹת	ʾōbōt	Np	Oboth
H0089	89	—	a.as.ab	heber	ado	אָגֵא	ʾāgēʾ	Np	Agee
H0090	90	—	a.as.ac	heber	adq	אֲגָג	ʾăgāg	Np	Agag
H0091	91	—	a.as.ad	heber	adr	אֲגָגִי	ʾăgāgî	Ag	Agagite
H0092	92	15a	a.at.ab	heber	adt	אֲגֻדָּה	ʾăguddâ	N	band
H0093	93	16	a.at.ac	heber	adu	אֱגוֹז	ʾĕgôz	N	nuts
H0094	94	—	a.az.ab	heber	adv	אָגוּר	ʾāgûr	Np	Agur
H0095	95	23a	a.az.ac	heber	adw	אֲגוֹרָה	ʾăgôrâ	N	payment
H0096	96	17a	a.au.ab	heber	adx	אֵ֫גֶל	ʾēgel	N	drop
H0097	97	—	a.au.ac	heber	adz	אֶגְלַ֫יִם	ʾeglayim	Np	Eglaim
H0098	98	18a	a.av.ab	heber	aea	אֲגַם	ʾăgam	N	troubled pool
H0099	99	18b	a.av.ac	heber	aeb	אָגֵם	ʾāgēm	A	sad
H0100	100	19	a.av.ad	heber	aed	אַגְמֹן	ʾagmōn	N	rush
H0101	101	20a	a.aw.ab	heber	aee	אַגָּן	ʾaggān	N	bowl
H0102	102	21a	a.ax.ab	heber	aeg	אֲגַף	ʾăgap	N	band
H0103	103	22	a.ay.aa	heber	aei	אָגַר	ʾāgar	V	gather
H0104	104	2557	xa.ac.ad	arameus	nza	אִגְּרָא	ʾiggĕrāʾ	N	letter-missive
H0105	105	380a	c.cz.ab	heber	aek	אֲגַרְטָל	ʾăgarṭāl	N	basin
H0106	106	385a	c.de.ab	heber	ael	אֶגְרֹף	ʾegrōp	N	fist
H0107	107	23b	a.az.ad	heber	aem	אִגֶּ֫רֶת	ʾiggeret	N	letter
H0108	108	38d	a.bq.ae	heber	aen	אֵד	ʾēd	N	mist
H0109	109	24	a.ba.aa	heber	aeo	אָדַב	ʾādab	V	grieve
H0110	110	—	a.ba.ab	heber	aep	אַדְבְּאֵל	ʾadbĕʾēl	Np	Adbeel
H0111	111	—	e.an.ad	heber	aeq	אֲדַד	ʾădad	Np	Hadad
H0112	112	—	a.bb.ab	heber	aes	אִדּוֹ	ʾiddô	Np	Iddo
H0113	113	27b	a.be.ac	heber	aev	אָדוֹן	ʾādôn	N	lord
H0114	114	—	a.be.ae	heber	aeu	אַדּוֹן	ʾaddôn	Np	Addon
H0115	115	—	a.bf.ac	heber	aew	אֲדוֹרַ֫יִם	ʾădôrayim	Np	Adoraim
H0116	116	2558	xa.ac.ae	arameus	nzb	אֱדַ֫יִן	ʾĕdayin	D	then
H0117	117	28b	a.bf.ae	heber	aex	אַדִּיר	ʾaddîr	A	majestic
H0118	118	—	a.bb.ad	heber	aey	אֲדַלְיָא	ʾădalyāʾ	Np	Adalia
H0119	119	26a	a.bd.ab	heber	afd	אָדֹם	ʾādōm	V	be red
H0120	120	25a	a.bc.ab	heber	afb	אָדָם	ʾādām	N	man
H0121	121	25a	a.bc.ab	heber	afa	אָדָם	ʾādām	Np	Adam
H0122	122	26b	a.bd.ac	heber	afc	אָדֹם	ʾādōm	A	red
H0122	122	26d	a.bd.ae	heber	aez	אֱדֹם	ʾĕdōm	N	rosy
H0123	123	26e	a.bd.af	heber	aet	אֱדוֹם	ʾĕdôm	Np	Edom
H0124	124	26c	a.bd.ad	heber	afe	אֹ֫דֶם	ʾōdem	N	carnelian
H0125	125	26g	a.bd.ah	heber	afh	אֲדַמְדָּם	ʾădamdām	A	reddish
H0126	126	—	a.bc.ad	heber	afk	אַדְמָה	ʾadmâ	Np	Admah
H0127	127	25b	a.bc.ac	heber	afj	אֲדָמָה	ʾădāmâ	N	ground
H0128	128	—	a.bc.ac	heber	afi	אֲדָמָה	ʾădāmâ	Np	Adamah
H0129	129	—	a.bc.ae	heber	afn	אֲדָמִי הַנֶּ֫קֶב	ʾădāmî hanneqeb	Np	Adami
H0130	130	26f	a.bd.ag	heber	afm	אֲדֹמִי	ʾădōmî	A	Edomite
H0131	131	—	p.cs.al	heber	afo	אֲדֻמִּים	ʾădummîm	Np	Adummim
H0132	132	26h	a.bd.ai	heber	afl	אַדְמוֹנִי	ʾadmônî	A	red
H0133	133	—	a.bd.ak	heber	afp	אַדְמָתָא	ʾadmātāʾ	Np	Admatha
H0134	134	27a	a.be.ab	heber	afq	אֶ֫דֶן	ʾeden	N	base
H0135	135	—	a.be.ad	heber	afr	אַדָּן	ʾaddān	Np	Addan
H0136	136	27b	a.be.ac	heber	aft	אֲדֹנָי	ʾădōnāy	N	lord
H0137	137	—	a.be.af	heber	afu	אֲדֹנִי־בֶ֫זֶק	ʾădōnî-bezeq	Np	Adonibezek
H0138	138	—	a.be.ah	heber	afv	אֲדֹנִיָּ֫הוּ	ʾădōnîyāhû	Np	Adonijah
H0139	139	—	a.be.ag	heber	afw	אֲדֹנִי־צֶ֫דֶק	ʾădōnî-ṣedeq	Np	Adonizedec
H0140	140	—	a.be.ai	heber	afx	אֲדֹנִיקָם	ʾădōnîqām	Np	Adonikam
H0141	141	—	a.be.aj	heber	afy	אֲדֹנִירָם	ʾădōnîrām	Np	Adoniram
H0142	142	28	a.bf.aa	heber	agc	אָדַר	ʾādar	V	wide
H0143	143	—	a.bf.ag	heber	afz	אֲדָר	ʾădār	Np	Adar
H0144	144	2559	xa.ac.af	arameus	nzc	אֲדָר	ʾădār	Np	Adar
H0145	145	28a	a.bf.ab	heber	aga	אֶ֫דֶר	ʾeder	N	amplitude
H0146	146	—	a.bf.ad	heber	agb	אַדָּר	ʾaddār	Np	Addar
H0147	147	2560	xa.ac.ag	arameus	nzd	אִדַּר	ʾiddar	N	threshing-floor
H0148	148	2561	xa.ac.ah	arameus	nze	אֲדַרְגָּזֵר	ʾădargāzēr	N	counsellor
H0149	149	2562	xa.ac.ai	arameus	nzf	אַדְרַזְדָּא	ʾadrazdāʾ	D	correctly
H0150	150	28.1	d.ci.ad	heber	agd	אֲדַרְכֹּן	ʾădarkōn	N	drachma
H0151	151	—	a.be.ak	heber	age	אֲדֹרָם	ʾădōrām	Np	Adoram
H0152	152	—	a.bf.ah	heber	agf	אַדְרַמֶּ֫לֶךְ	ʾadrammelek	Np	Adrammelech
H0153	153	2682b	xd.ao.ac	arameus	nzg	אֶדְרַע	ʾedraʿ	N	force
H0154	154	—	d.cj.ab	heber	agg	אֶדְרֶ֫עִי	ʾedreʿî	Np	Edrei
H0155	155	28c	a.bf.af	heber	agh	אַדֶּ֫רֶת	ʾadderet	N	glory
H0156	156	419	a.bg.aa	heber	agi	אָדַשׁ	ʾādaš	V	tread
H0157	157	29	a.bh.aa	heber	agk	אָהֵב	ʾāhēb	V	love
H0158	158	29a	a.bh.ab	heber	agj	אַ֫הַב	ʾahab	N	love
H0159	159	29b	a.bh.ac	heber	agl	אֹ֫הַב	ʾōhab	N	amours
H0160	160	29c	a.bh.ad	heber	agm	אַהֲבָה	ʾahăbâ	N	love
H0161	161	—	a.bi.ab	heber	agn	אֹ֫הַד	ʾōhad	Np	Ohad
H0162	162	30	a.bj.aa	heber	agp	אֲהָהּ	ʾăhāh	Tj	alas!
H0163	163	—	a.bj.ab	heber	agq	אַהֲוָא	ʾahăwāʾ	Np	Ahava
H0164	164	—	a.bi.ac	heber	agr	אֵהוּד	ʾēhûd	Np	Ehud
H0165	165	31	a.bk.aa	heber	ags	אֱהִי	ʾĕhî	D	where?
H0166	166	33	a.bm.aa	heber	agt	אָהַל	ʾāhal	V	be clear
H0167	167	32	a.bl.ac	heber	agu	אָהַל	ʾāhal	V	tent
H0168	168	32a	a.bl.ab	heber	agx	אֹ֫הֶל	ʾōhel	N	tent
H0169	169	—	a.bl.ab	heber	agw	אֹ֫הֶל	ʾōhel	Np	Ohel
H0170	170	32b	a.bl.ad	heber	agz	אׇהֳלָה	ʾohŏlâ	Np	Oholah
H0171	171	—	a.bl.ae	heber	aha	אׇהֳלִיאָב	ʾohŏlîʾāb	Np	Oholiab
H0172	172	32c	a.bl.af	heber	ahb	אׇהֳלִיבָה	ʾohŏlîbâ	Np	Oholibah
H0173	173	—	a.bl.ag	heber	ahc	אׇהֳלִיבָמָה	ʾohŏlîbāmâ	Np	Oholibamah
H0174	174	34	a.bn.aa	heber	agv	אָהָל	ʾāhāl	N	aloe
H0175	175	35	a.bn.ab	heber	ahd	אַהֲרֹן	ʾahărōn	Np	Aaron
H0176	176	36	a.bo.aa	heber	ahf	אוֹ	ʾô	C	or
H0176	176	40a	a.bs.ab	heber	ahe	אוֹ	ʾô	N	desire
H0177	177	—	a.bo.ab	heber	ahg	אוּאֵל	ʾûʾēl	Np	Uel
H0178	178	37a	a.bp.ab	heber	ahh	אוֹב	ʾôb	N	skin-bottle
H0179	179	—	a.al.ab	heber	ahj	אוֹבִיל	ʾôbîl	Np	Obil
H0180	180	835g	j.ah.aj	heber	ahk	אוּבַל	ʾûbal	N	stream
H0181	181	38a	a.bq.ab	heber	ahl	אוּד	ʾûd	N	brand
H0182	182	38b	a.bq.ac	heber	ahn	אוֹדָה	ʾôdâ	N	cause
H0183	183	40	a.bs.aa	heber	ahq	אָוָה	ʾāwâ	V	incline
H0184	184	41	a.bt.aa	heber	ahp	אָוָה	ʾāwâ	V	sign
H0185	185	40b	a.bs.ac	heber	aho	אַוָּה	ʾawwâ	N	desire
H0186	186	—	a.bt.ac	heber	aht	אוּזַי	ʾûzay	Np	Uzai
H0187	187	—	a.cf.ac	heber	ahu	אוּזָל	ʾûzāl	Np	Uzal
H0188	188	42	a.bu.aa	heber	ahw	אוֹי	ʾôy	Tj	woe!
H0189	189	—	a.bs.ad	heber	ahv	אֱוִי	ʾĕwî	Np	Evi
H0190	190	—	a.bu.ab	heber	ahx	אוֹיָה	ʾôyâ	Tj	woe!
H0191	191	44a	a.bw.ab	heber	ahy	אֱוִיל	ʾĕwîl	A	foolish
H0192	192	—	a.bv.ae	heber	ahz	אֱוִיל מְרֹדַךְ	ʾĕwîl mĕrōdak	Np	Evil-merodach
H0193	193	45a	a.bx.ab	heber	aia	אוּל	ʾûl	N	body
H0193	193	45b	a.bx.ac	heber	aib	אוּל	ʾûl	N	leading man
H0194	194	46	a.by.aa	heber	aif	אוּלַי	ʾûlay	D	if not
H0195	195	—	a.bx.aw	heber	aig	אוּלַי	ʾûlay	Np	Ulai
H0196	196	44b	a.bw.ac	heber	aie	אֱוִלִי	ʾĕwilî	A	silly
H0197	197	45c	a.bx.ad	heber	aij	אוּלָם	ʾûlām	N	porch
H0198	198	—	a.bx.ae	heber	aii	אוּלָם	ʾûlām	Np	Ulam
H0199	199	47	a.bz.aa	heber	aih	אוּלָם	ʾûlām	D	but
H0200	200	44c	a.bw.ad	heber	aik	אִוֶּ֫לֶת	ʾiwwelet	N	folly
H0201	201	—	a.ea.ae	heber	ail	אוֹמָר	ʾômār	Np	Omar
H0202	202	49a	a.cb.ab	heber	aip	אוֹן	ʾôn	N	vigour
H0203	203	—	a.cb.ac	heber	aio	אוֹן	ʾôn	Np	On
H0204	204	121	a.ea.aq	heber	axa	אֹן	ʾōn	Np	On
H0205	205	48a	a.ca.ab	heber	ain	אָ֫וֶן	ʾāwen	N	trouble
H0206	206	—	a.ca.ab	heber	aim	אָ֫וֶן	ʾāwen	Np	Aven
H0207	207	—	a.cb.ad	heber	ais	אוֹנוֹ	ʾônô	Np	Ono
H0208	208	—	a.cb.ae	heber	ait	אוֹנָם	ʾônām	Np	Onam
H0209	209	—	a.cb.af	heber	aiu	אוֹנָן	ʾônān	Np	Onan
H0210	210	—	a.cb.ai	heber	aiv	אוּפָז	ʾûpāz	Np	Uphaz
H0211	211	50	a.cb.aj	heber	aiw	אוֹפִיר	ʾôpîr	Np	Ophir
H0212	212	146a	a.fc.ab	heber	aix	אוֹפָן	ʾôpān	N	wheel
H0213	213	51	a.cc.aa	heber	aiy	אוּץ	ʾûṣ	V	press
H0214	214	154a	a.fl.ac	heber	aiz	אוֹצָר	ʾôṣār	N	treasure
H0215	215	52	a.cd.aa	heber	ajb	אוֹר	ʾôr	V	be light
H0216	216	52a	a.cd.ab	heber	aja	אוֹר	ʾôr	N	light
H0217	217	52d	a.cd.ae	heber	aje	אוּר	ʾûr	N	flame
H0217	217	52d	a.cd.af	heber	bdo	אֻרִים	ʾurîm	N	region of light
H0218	218	—	a.cd.ah	heber	ajd	אוּר	ʾûr	Np	Ur
H0218	218	—	a.cd.aq	heber	ajc	אוּר	ʾûr	Np	Ur
H0219	219	52b	a.cd.ac	heber	ajh	אוֹרָה	ʾôrâ	N	light
H0219	219	52c	a.cd.ad	heber	ajg	אוֹרָה	ʾôrâ	N	herb
H0220	220	158b	a.fo.ac	heber	ajf	אֲוֵרָה	ʾăwērâ	N	manger
H0221	221	—	a.cd.ai	heber	aji	אוּרִי	ʾûrî	Np	Uri
H0222	222	—	a.cd.aj	heber	ajj	אוּרִיאֵל	ʾûrîʾēl	Np	Uriel
H0223	223	—	a.cd.ak	heber	ajk	אוּרִיָּה	ʾûrîyâ	Np	Uriah
H0223	223	—	a.cd.al	heber	ajl	אוּרִיָּ֫הוּ	ʾûrîyāhû	Np	Urijah
H0224	224	52e	a.cd.ag	heber	ajm	אוּרִים	ʾûrîm	N	Urim
H0225	225	53	a.ce.aa	heber	ajo	אוּת	ʾût	V	consent
H0226	226	41a	a.bt.ab	heber	ajn	אוֹת	ʾôt	N	sign
H0227	227	54	a.ce.ac	heber	ajp	אָז	ʾāz	D	at that time
H0227	227	54a	a.ce.ad	heber	gih	מֵאָז	mēʾāz	D	from that time
H0228	228	2563	xa.af.aa	arameus	nzj	אֲזָא	ʾăzāʾ	V	make hot
H0229	229	—	a.ce.af	heber	ajq	אֶזְבָּ֑י	ʾezbāy	Np	Ezbai
H0230	230	2564	xa.af.ab	arameus	nzk	אַזְדָּא	ʾazdāʾ	A	sure
H0231	231	55	a.ce.ag	heber	ajr	אֵזוֹב	ʾēzôb	N	hyssop
H0232	232	59a	a.ci.ab	heber	ajs	אֵזוֹר	ʾēzôr	N	waistcloth
H0233	233	54	a.ce.ae	heber	ajt	אֲזַי	ʾăzay	D	then
H0234	234	551d	g.bh.ak	heber	aju	אַזְכָּרָה	ʾazkārâ	N	memorial-offering
H0235	235	56	a.cf.aa	heber	ajw	אָזַל	ʾāzal	V	go
H0236	236	2565	xa.ag.aa	arameus	nzl	אֲזַל	ʾăzal	V	go
H0237	237	—	a.cf.ab	heber	ajv	אֶזֶל	ʾezel	Np	Ezel
H0238	238	57	a.cg.ac	heber	ajz	אָזַן	ʾāzan	V	give ear
H0239	239	58	a.ch.aa	heber	ajy	אָזַן	ʾāzan	V	weigh
H0240	240	57b	a.cg.ad	heber	ajx	אָזֵן	ʾāzēn	N	implements
H0241	241	57a	a.cg.ab	heber	aka	אֹ֫זֶן	ʾōzen	N	ear
H0242	242	—	a.ch.ac	heber	akc	אֻזֵּן שֶׁאֱרָה	ʾuzzēn šeʾĕrâ	Np	Uzzen-sherah
H0243	243	—	a.cg.ah	heber	akd	אַזְנוֹת תָּבוֹר	ʾaznôt tābôr	Np	Aznoth-tabor
H0244	244	—	a.cg.ae	heber	ake	אׇזְנִי	ʾoznî	Np	Ozni
H0244	244	—	a.cg.af	heber	akf	אׇזְנִי	ʾoznî	Ag	Ozni
H0245	245	—	a.cg.ag	heber	akg	אֲזַנְיָ֫הוּ	ʾăzanyāhû	Np	Azaniah
H0246	246	577b	g.cg.ac	heber	akh	אֲזֵק	ʾăzēq	N	manacle
H0247	247	59	a.ci.aa	heber	aki	אָזַר	ʾāzar	V	gird
H0248	248	583b	g.cm.ac	heber	akj	אֶזְרוֹעַ	ʾezrôaʿ	N	arm
H0249	249	580b	g.cj.af	heber	akk	אֶזְרָח	ʾezrāḥ	N	a native
H0250	250	—	g.cj.ag	heber	akl	אֶזְרָחִי	ʾezrāḥî	Ag	Ezrachite
H0251	251	62a	a.ck.ab	heber	akn	אָח	ʾāḥ	N	brother
H0252	252	2566	xa.aj.ab	arameus	nzn	אַח	ʾaḥ	N	brother
H0253	253	60	a.ci.ah	heber	ako	אָח	ʾāḥ	Tj	ah!
H0254	254	66a	a.cn.ab	heber	akm	אָח	ʾāḥ	N	fire-pot
H0255	255	65a	a.cm.ab	heber	akp	אֹחַ	ʾōaḥ	N	jackal
H0256	256	—	a.ck.ac	heber	akq	אַחְאָב	ʾaḥʾāb	Np	Ahab
H0257	257	—	a.ck.ae	heber	akr	אַחְבָן	ʾaḥbān	Np	Ahban
H0258	258	605	h.aq.aa	heber	akt	אָחַד	ʾāḥad	V	be sharp
H0259	259	61	a.cj.aa	heber	aks	אֶחָד	ʾeḥād	A	one
H0260	260	63	a.ck.bh	heber	akv	אָחוּ	ʾāḥû	N	reeds
H0261	261	—	a.cj.ab	heber	akw	אֵחוּד	ʾēḥûd	Np	Ehud
H0262	262	618a	h.bc.ab	heber	akx	אַחְוָה	ʾaḥwâ	N	declaration
H0263	263	2722a	xh.ad.ab	arameus	nzq	אַחֲוָיָה	ʾaḥăwāyâ	N	a declaring
H0264	264	62b	a.ck.be	heber	aky	אַחֲוָה	ʾaḥăwâ	N	brotherhood
H0265	265	—	a.cn.ac	heber	akz	אֲחוֹחַ	ʾăḥôaḥ	Np	Ahoah
H0266	266	—	a.cn.ad	heber	ala	אֲחוֹחִי	ʾăḥôḥî	Ag	Achochite
H0267	267	—	a.ck.af	heber	alb	אֲחוּמַי	ʾăḥûmay	Np	Ahumai
H0268	268	68d	a.cp.ae	heber	alc	אָחוֹר	ʾāḥôr	N	the hinder side
H0269	269	62c	a.ck.bg	heber	ald	אָחוֹת	ʾāḥôt	N	sister
H0270	270	64	a.cl.aa	heber	ale	אָחַז	ʾāḥaz	V	grasp
H0271	271	—	a.cl.ab	heber	alf	אָחָז	ʾāḥāz	Np	Ahaz
H0272	272	64a	a.cl.ac	heber	alg	אֲחֻזָּה	ʾăḥuzzâ	N	possession
H0273	273	—	a.cl.ad	heber	alh	אַחְזַי	ʾaḥzay	Np	Ahasai
H0274	274	—	a.cl.ad	heber	ali	אֲחַזְיָ֫הוּ	ʾăḥazyāhû	Np	Ahaziah
H0275	275	—	a.cl.ae	heber	alj	אֲחֻזָּם	ʾăḥuzzām	Np	Ahuzam
H0276	276	—	a.cl.af	heber	alk	אֲחֻזַּת	ʾăḥuzzat	Np	Ahuzzath
H0277	277	—	a.ck.ah	heber	aln	אֲחִי	ʾăḥî	Np	Ahi
H0278	278	—	a.cn.ae	heber	alo	אֵחִי	ʾēḥî	Np	Ehi
H0279	279	—	a.ck.ag	heber	alp	אֲחִיאָם	ʾăḥîʾām	Np	Ahiam
