# S0.5 kiejtes-tesztkeszlet tisztitasa. Forras: naplok/RENDER_kiejtes_tesztkeszlet.tsv (200 par).
# "arany": a 99 (98+1, helyreallitott beagyazott sortores miatt tortre szakadt sor) kezi,
# ISTENTISZT-001-bol szarmazo par, mind valodinak tekintve (emberi, ellenorzott forras).
# "valodi"/"hamis" a tovabbi 101 par heurisztikus besorolasa: hamis, ha a kiejtes mezo
# tobb mint 5 szot tartalmaz, mondatvegi/roviditespontot visel, vagy strong-kodon kivuli
# szamjegyet tartalmaz — ezek tobbnyire roviditett latin idezet-forma (pl. "t. onoma"), nem
# valodi, onallo kiejtes-par. Ez automata elozetes trias; kezi vegso megerosites az S1.2/S1.3-e.
nyelv	szo	kiejtes	hely	besorolas	indok
gorog	τόν κύριον	ton kürion	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικαλεῖσθαι τούς Θεούς	epikaleiszthai túsz Theúsz	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
heber	קָרָא	kárá	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
heber	יְהוָה בְּשֵׁם קָרָא	kárá besém JHVH	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
heber	קָרָא	kárá	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
heber	שֵׁם	sém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	שׁמה	smh	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	ושׁם	vsm	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	הַשֵּׁם	hassém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	יהוה	JHVH	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	שם	sm	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	סם	szm	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	שְׁמָא	semá	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	שֵׁם	sém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	שם	sm	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	valodi	heurisztika nem talalt problemat
heber	׳שׁ	s., azaz sém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	hamis	mondatvegi irasjel/roviditespont
heber	׳שׁ	s., azaz sém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)	hamis	mondatvegi irasjel/roviditespont
gorog	καλέω	kaleó	adat/lexikon_hivatkozasok.tsv#sor20(G2564)	valodi	heurisztika nem talalt problemat
gorog	καλῶ	kaló	adat/lexikon_hivatkozasok.tsv#sor20(G2564)	valodi	heurisztika nem talalt problemat
gorog	κ	ek	adat/lexikon_hivatkozasok.tsv#sor20(G2564)	valodi	heurisztika nem talalt problemat
heber	קרא	kárá	adat/lexikon_hivatkozasok.tsv#sor20(G2564)	valodi	heurisztika nem talalt problemat
gorog	βοάω	boaó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
gorog	βοῶ	boó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
gorog	βοή	boé	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
gorog	καλέω	kaleó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
gorog	κράζω	kradzó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
gorog	κραυγάζω	kraugadzó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
gorog	κράζω	kradzó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
gorog	βοάω	boaó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
heber	זעק	záak	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
heber	צעק	cáak	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
heber	קרא	kárá	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
heber	זעק על	záak al	adat/lexikon_hivatkozasok.tsv#sor21(G0994)	valodi	heurisztika nem talalt problemat
heber	קָרָא	kárá	adat/lexikon_hivatkozasok.tsv#sor23(H7121)	valodi	heurisztika nem talalt problemat
gorog	ν Βριάρεων καλέουσι θεοί	hon Briareón kaleúszi theoi	adat/lexikon_hivatkozasok.tsv#sor24(G2564)	valodi	heurisztika nem talalt problemat
gorog	νομα καλεῖν τινα	onoma kalein tina	adat/lexikon_hivatkozasok.tsv#sor24(G2564)	valodi	heurisztika nem talalt problemat
gorog	νομα ἐπί τινι	k. onoma epi tini	adat/lexikon_hivatkozasok.tsv#sor24(G2564)	hamis	mondatvegi irasjel/roviditespont
gorog	τινὰ ἐπὶ τῷ ὀνόματι τοῦ πατρός	k. tina epi tó onomati tú patrosz	adat/lexikon_hivatkozasok.tsv#sor24(G2564)	hamis	tul sok szo (>5)
gorog	καλούμενος	ho kalúmenosz	adat/lexikon_hivatkozasok.tsv#sor24(G2564)	valodi	heurisztika nem talalt problemat
